region,Year1990,Year2000,Year2010,title
World,92.1,91.7,91.3,Proportion of Species Threatened With Extinction
  Developing Regions ,92.4,92.1,91.7,
    Northern Africa ,98,97.5,96.9,
    Sub-Saharan Africa ,93.6,93.4,93.3,
    Latin America and the Caribbean ,93,92.9,92.1,
    Eastern Asia,96.1,95.9,95.6,
    Southern Asia,95.8,95.5,95.2,
    South-Eastern Asia,93.2,92.4,92.4,
    Western Asia,97.7,97.3,96.8,
    Oceania,91.6,91.3,91.2,
    Caucasus and Central Asia,98.1,97.7,97.1,
  Developed Regions,93.9,93.6,93.1,
